id,name,closest_approach_date,miss_distance_km,hazardous
3183853,(2004 LA6),2026-09-22,54500983.17690164,False
3781453,(2017 RP15),2026-09-22,21886909.069973946,False
3826834,(2018 PL23),2026-09-22,26278602.771569636,True
3829442,(2018 RL6),2026-09-22,62938833.9378227,False
3843774,(2019 RX),2026-09-22,26495837.683261894,False
2719194,719194 (2018 PL23),2026-09-22,26278603.459719837,True
3477703,(2009 WQ6),2026-09-21,55299668.821559146,False
3519453,(2010 JA),2026-09-21,10081613.172511352,False
3708359,(2015 BK509),2026-09-21,22323571.80365543,False
3878625,(2019 TZ5),2026-09-21,48788279.30711414,False
3348144,(2006 TL),2026-09-24,40765882.38593042,False
3581506,(2011 TB4),2026-09-24,44130095.34081231,False
3728857,(2015 SY16),2026-09-24,73848076.93591937,True
3892681,(2019 VW2),2026-09-24,44525497.68044633,False
3177202,(2004 FH),2026-09-23,59678378.25082712,False
3402616,(2008 CO116),2026-09-23,72943127.60082242,False
3617154,(2012 VB37),2026-09-23,10304606.36053629,False
3630815,(2013 ES11),2026-09-23,51742443.946813904,False
3720000,(2015 KT120),2026-09-23,47340690.58132943,False
3759670,(2016 SE),2026-09-23,28128969.101738084,False
2376848,376848 (2001 RY47),2026-09-26,19724643.029006798,False
3092330,(2001 SY169),2026-09-26,70322607.8143903,False
3291224,(2005 SP9),2026-09-26,56699114.96312618,False
3427460,(2008 ST),2026-09-26,14878930.159093497,False
3629117,(2013 ET),2026-09-26,70330127.72532052,False
3717039,(2015 HA10),2026-09-26,38850386.1696524,False
3830851,(2018 SD1),2026-09-26,35828309.58721446,False
3843612,(2019 QY1),2026-09-26,74134162.95081787,True
3753791,(2016 LY8),2026-09-25,13142326.651150573,False
3803909,(2018 HN),2026-09-25,16612223.948800756,False
3824978,(2018 KS),2026-09-25,34180550.04021606,False
3692560,(2014 TU),2026-09-27,40650768.30598433,False
3838859,(2019 DJ1),2026-09-27,42105242.557971746,False
3872621,(2019 SH7),2026-09-27,32446692.879890166,False
